"coupon_id","title","description","discount","minimum_cart","applicables","brands","users","payment","offer_tnc"
"100-3-15275","Sitewide Offer: Extra Rs 100 OFF on All Products","Now install homeshop18 mobile app and Buy anything from kitchen appliances to women kurtis and electronics products to footwear for all age groups. Avail Flat Rs 100 OFF on your order now. Use the given Code at check out and avail this early bird and stunning discount. Hurry! ",,,,,,,
"100-3-18005","Avail Flat 5% OFF On Mobiles","Homeshop18 Offers elephantine Flat 5% DISCOUNT on top and renowned branded mobiles in this link. Use the given homeshop18 coupon at checkout to avail this sensational offer. Minimum Purchase Value is Rs 999 and Maximum Discount is Rs 500 on every order. Hurry! Limited Period Offer! ",,,,,,,
"100-3-18862","Flat 62% + Extra Rs 60 OFF On Salwar Suits","Homeshop18, Online Electronics, Fashion & Home Decor Store offers Flat 62% OFF and extra Rs 60 Discount on women unstitched salwar suits (set of 3) of art crepe fabric and available in bright colours here in this link at just Rs 1139. No Code needed. Avail it today! ",,,,,,,
"100-3-19239","Flat 10% OFF On Fashion, Footwear & Accessories","Homeshop18 is offering corpulent discount of Flat 10% OFF on fashion, footwear, accessories and clothes etc. in this link by using the shown Promo Code at checkout. Limited Period Sale. Hurry Up! ",,,,,,,
"100-4-101160","Upto 70% Off On Women&#8217;s Footwear","Upto 70% Off On Women s Footwear Of categories like sandals, shoes, boots, slippers etc. Coupon Code is not required. †Click to get the offer page.",,,,,,,
"100-4-101630","Upto 68% Off On Power Banks","Shop and get up to 68% off on the †Power Banks on brands like Nokia, Godrej, Sony etc. Coupon Code is not required. click to get the offer page.",,,,,,,
"100-4-114043","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas","Upto 76% Off & Get Free Gifts on Kurtas & Pyjamas. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-114749","Upto 42% Off on Televisions","Shop for the television Sets here from the various brands like Mitashi, I Grasp and many more. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-119955","Upto 28% Off on Sewing Machines","Upto 28% Off †on Sewing Machines On brands like Novel, †Singer, †Usha. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-120826","Upto 45% Off on Water Purifiers","Upto 45% Off †On Categories like Electrical Water Purifiers, †Water Purifier Accessories, †Non-Electrical Water Purifiers. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-125068","Upto 60% Off on Home Decors","Upto 60% Off on Home Decors, Choose from various categories like Photo Frames, Mugs, Wall Decors etc. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-125070","Upto 60% Off on Skin Care Products","Upto 60% Off on Skin Care Products , Choose from various categories like †Creams & Lotions, †Skin Care Combos, †Exfoliators, †Cleansers & Toners, †Facial Kits etc. No need to use the coupon code. Click the link to get landing page.",,,,,,,
"100-4-127864","Upto 55% Off On Remote Controlled Toys","Shop for the various Remote controller toys like cars, racing cars, robots, helicopter, super bikes and many more. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-133718","Upto 40% Off on Ceiling Fans","This offer applicable only on the products listed in this catalogue. Choose from various brands like †Havells, †Inalsa, †Kailash, †Khaitan, Luminous, †Nova, †Usha and more.",,,,,,,
"100-4-135462","Upto 50% Off On Small Home Appliances","Upto 50% Off On Small Home Appliances like vacuum cleaner, roti maker, insect killer, gas stoves, water purifiers etc. No need to use coupon code. Click to get the offer page.",,,,,,,
"100-4-136637","Upto 50% Off on Women Dresses","Shop & get up to 50% Off on†Women Dresses , Choose from various brands like Ayaany, Collezioni Moda, Color Cocktail, Colormode, Corsage, Enigma and more. Click to get landing page.",,,,,,,
"100-4-137176","Upto 75% Off on Women Sarees","Upto 75% Off on Women Sarees, Choose from various brands like Aapno Rajasthan, Chhabra 555, Cotton Bazaar, Demarca, Designersareez and more.",,,,,,,
"100-4-138189","Upto 60% Off on Home & Kitchen By Mahavir","Upto 60% Off on Home & Kitchen By Mahavir, This offer applicable only on the products listed in this offer page. †Click to get the Landing Page you will find more offers.",,,,,,,
"100-4-138416","Upto 70% Off on Men Fashion Accessories","Upto 70% Off on Men Fashion Accessories, Choose from various categories like †Wallets, †Sunglasses, Ties & Cufflinks, †Gift Combos, †Belts and more. Click to get the landing page.",,,,,,,
"100-4-140187","Upto 88% Off on Fashion Necklaces","Upto 88% Off on Fashion Necklaces , This offer valid on landing page products. Click the link to get landing page. No coupon code required for this offer.",,,,,,,
"100-4-145038","Upto 50% Off on Sizzling Silver Jewellery","Upto 50% Off on Silver Jewellery, Choose from various categories like †Silver Pendants, Rings, Earrings, Anklets/Toe Rings, Necklaces, Nose Pins and more. Click the link to get landing page.",,,,,,,
"100-4-146761","Upto 75% Off on Men T-Shirts","This offer applicable only on the products listed in this landing page. Click the link to get landing page. No coupon code required for this offer.",,,,,,,
"100-4-147589","Upto 80% Off on Bed Sheets","Choose from various brands like † Aapno Rajasthan, †Alliance, †Bianca, †Cenizas, †Deco Window, †Elite Fabs, †Elysia, †Expressions, †Forty Winks and more. Click the link to get landing page.",,,,,,,
"100-4-157327","Upto 30% Off on Kitchen Appliances","Homeshop18 is offering you with an exciting offer. Shop and get up to 30% off on all kitchen appliances. Shop from the various products like Popup toaster, Sandwich maker, Coffee maker, Blenders and many more. Click to get the landing page.",,,,,,,
"100-4-157347","Upto 17% Off on Whirlpool Refrigerators","Beat the heat of this summer with Exciting offers on refrigerator. Get upto 17% off on whirlpool refrigerators at Homeshop18. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-162969","Sale : Minimum 45% Off on Mobile Accessories","Mobile Accessories Sale : Get minimum 45% off on all the mobile accessories at homeshop18. Shop from the various products like Mobile Climate Docking Station, Climate Zipper Bags, Power Banks, Mobile cases and many more. Click to get the offer page.",,,,,,,
"100-4-163301","Minimum 45% Off on Stylish Cookware","Shop and get Minimum 45% off on stylish cookware combos at Homeshop18. You can get all the Combos Kithcen Utensils at best price. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-163813","Fantastic Fans : All Ceiling Fans Below Rs.2000","Keep the summer heat at bay when you own this ultra modern and super cool ceiling fan from Nova. Shop for the ceiling fans all below†Rs.2000. It is simply the perfect pick for any home. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-165971","Upto 60% Off on Music Systems","Music has pretty much become an integral part of our lives. Now buy music system online at HomeShop18, featuring some of the finest music systems that you can check out. We feature Portable Speakers, HTS, Radios, Docking Stations and Amplifiers. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-168141","Upto 26% Off on Tea & Coffee Makers","Shop now and get 26% off on all the landing page products with our range of Trendy Tea Makers, you can be guaranteed of fresh tea at all times. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-168210","Upto 69% Off on External Storage Devices","Shop and get upto 69% off on the landing page products like Pen Drives, External Hard Drives, CD/DVD Wallets, Hard Disk Cases and Combos. No coupon code required. Click to get the offer page.",,,,,,,
"100-4-168601","Upto 57% Off on Women&#8217;s Denims","Shop for the women s clothing from the house of Denims †at best offer price. Shop from the various products like Jeans, Leggings, Kurtis, Shorts and Jeggings. No coupon code required to avail this offer. Click to get the offer page.",,,,,,,
"100-4-169075","Min 25% Off on Household Appliances","Small appliances with Big Happiness. Shop for the various products like Iron Boxes, Sewing Machines, Garment Steamers, Vacuum Cleaner, Geyser, Inverter and many more at best prices. Hurry Up!! Click to get the offer page. No need to use coupon code.",,,,,,,
"100-4-169632","Upto 69% Off on Hair Driers","Get yourself flaunt in†style with these Hair Driers , Straighteners and Trimmers. Shop and get upto 69% off on all the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-169911","Upto 68% Off on Monsoon Jewellery","Shop and get upto 68% off on the Monsoon Jewellery at homeshop18. Shop from the various items like Necklaces, Chains, Bracelets , Earrings and many more. Hurry Up!! Click to get the offer page.",,,,,,,
"100-4-171286","Upto 70% Off on Combos of T-Shirt & Shorts","Here are cool and exciting collection of Men s T-shirts and shorts. Shop and get upto 70% off on these combos here at Homeshop18. These combos will definitely go light on your pockets. Hurry up !!",,,,,,,
"100-4-175433","Upto 70% Off on Hair Care Products","Shop from the various products like Hair Straighteners, Curlers, Hair oils , Shampoos and many more that give a perfect look to your hair. Shop now and get upto 70% off on the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-175465","Monsoon Magic : Upto 60% Off on Music Electronics","Turn the Music Loud now with these electronics here at Homeshop18. Shop now and get upto 60% off on the products like Head phones, Ear phones, Blue tooth Speakers, Mp3 player and many more. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-176001","Upto 52% Off On Tablets","Buy and get up to 52% off on branded tablets like micromax and penta dual core †and many more. No coupon code required to activate this offer, click here to get this offer.",,,,,,,
